University,Program,Study Level,Country,Official Website
National Yang Ming Chiao Tung University,Master in Intelligent Systems (Information Security and Information Engineering),Masters,Taiwan,https://en.nycu.edu.tw/
University of Oulu,Master's in Chemistry of Sustainable Processes and Materials,Masters,Finland,https://www.oulu.fi/en?utm_source=QS&utm_medium=main&utm_campaign=intl_mktg
Universität Hamburg,Bachelor of Science in Molecular Life Sciences,Bachelors,Germany,http://www.uni-hamburg.de
The Hong Kong University of Science and Technology,MSc in Economics,Masters,Hong Kong SAR,http://www.ust.hk
UNIVERSIDAD PRIVADA BOLIVIANA,Bachelor of Industrial and Systems Engineering,Bachelors,Bolivia,https://www.upb.edu
University of Stirling,MSc Business Analytics,Masters,United Kingdom,https://www.stir.ac.uk/?utm_source=TopUnviersities&utm_medium=Profile&utm_campaign=QS17
Kazan (Volga region) Federal University,Fundamental Computer Sciences and Information Technologies,Bachelors,Russia,http://kpfu.ru/
Universidad de los Andes,Master in International Studies,Masters,Colombia,https://uniandes.edu.co
Georgetown University,PhD - Doctor of Philosophy in Arabic and Islamic Studies,PHD,,https://landing.scsonline.georgetown.edu/brand-af/?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
Lancaster University,Accounting and Financial Management MSc,Masters,United Kingdom,http://www.lancs.ac.uk
John Cabot University,BA in International Business,Bachelors,Italy,http://www.johncabot.edu
Università degli Studi di Pavia,Electronic and Computer Engineering,Bachelors,Italy,https://web-en.unipv.it/
Universidad Americana  ,Bachelor of Business Administration (On Campus),Bachelors,Paraguay,https://www.americana.edu.py/
Loughborough University,English BA (Hons),Bachelors,United Kingdom,http://www.lboro.ac.uk
EU Business School,BBA - Bachelor of Business Administration (título propio) (Munich),Bachelors,Germany,https://info.euruni.edu/study-business-europe/?origen=11&utm_mode=11&campaign=QSTopUniversities&utm_source=QSTopUniversities&utm_medium=Profile&utm_campaign=allc-allp-br-11
The London School of Economics and Political Science (LSE),MSc Environmental Policy and Regulation,Masters,United Kingdom,http://www.lse.ac.uk/study-at-lse?utm_source=qs&utm_medium=website&utm_campaign=qs_website&utm_content=qswebsite_main_study
Université de Montréal ,Bachelor's Degree in French Language Literature,Bachelors,Canada,http://admission.umontreal.ca/english/
Universidad Militar Nueva Granada,Specialization in Surgery of the Hand and Upper Limb,Masters,Colombia,http://www.umng.edu.co/
Khoja Akhmet Yassawi International Kazakh-Turkish University,6B01101- Pedagogy and Psychology,Bachelors,,http://www.ayu.edu.kz
Universidad del Valle,Graphical Design,Bachelors,Colombia,http://www.univalle.edu.co
George Mason University,BS in Forensic Science/Accelerated MAIS in Interdisciplinary Studies (Folklore Studies Concentration),Bachelors,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
McGill University,Doctor of Philosophy (Ph.D.) Chemistry,PHD,Canada,https://www.mcgill.ca/
Universit Paris-Saclay,Predictive and Integrative Animal Biology,Masters,,http://www.universite-paris-saclay.fr/en
UCL,"Innovation, Public Policy and Public Value MPA",Masters,United Kingdom,https://www.ucl.ac.uk/prospective-students/graduate/change-your-world?utm_source=qs&utm_medium=affiliate&utm_campaign=vpee_pgt_always_on&utm_content=profile
Pontificia Universidad Catolica del Peru,Master in International Economic Law,Masters,Peru,http://www.pucp.edu.pe/
Université de Montréal ,"Master of Education, Educational Intervention option",Masters,Canada,http://admission.umontreal.ca/english/
Université de Montréal ,"Master of Education, Secondary Education option",Masters,Canada,http://admission.umontreal.ca/english/
The University of Texas at Arlington,BA in Philanthropy,Bachelors,United States,https://common.forms.uta.edu/view.php?id=871154
University of Delaware,Master of Science in International Business,Masters,United States,https://landing.online.udel.edu/brand-af//?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
National Taiwan University (NTU),Department of Horticulture and Landscape Architecture,Bachelors,Taiwan,https://www.ntu.edu.tw/english/
Lehigh University,Ph.D. in Biological Sciences,PHD,United States,https://www1.lehigh.edu/
University of Hull,BSc Geography,Bachelors,United Kingdom,http://www.hull.ac.uk
University of Southern Queensland,Master of Engineering Practice (Civil Engineering),Masters,Australia,http://www.unisq.edu.au/
George Mason University,MS in Geographic and Cartographic Sciences - Non-thesis Option,Masters,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
Complutense University of Madrid,Written Historical Heritage,Masters,Spain,http://www.ucm.es
Dalhousie University,Nursing (MN),Masters,Canada,http://www.dal.ca
York University,"Public Policy, Administration & Law",Masters,Canada,http://www.yorku.ca
University of Wolverhampton,MSc Health and Social Care,Masters,,http://www.wlv.ac.uk/international
George Mason University,BA in Dance,Bachelors,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
University of Portsmouth,Marketing BA (Hons),Bachelors,United Kingdom,https://www.port.ac.uk/
University of Otago,Bachelor of Arts (BA) in Anthropology,Bachelors,New Zealand,http://www.otago.ac.nz
The University of Sheffield,History (Research),PHD,United Kingdom,https://www.sheffield.ac.uk/
University of Bristol,PhD Creative Writing,PHD,,https://www.bristol.ac.uk/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=listings
The Chinese University of Hong Kong (CUHK),PhD in Chinese Language and Literature,PHD,Hong Kong SAR,http://www.cuhk.edu.hk
Loyola Marymount University,"Catholic Archdiocesan School Teachers (CAST), MA",Masters,,https://www.lmu.edu/
University of Stirling,Masters of Literature in Modern Scottish Writing,Masters,United Kingdom,https://www.stir.ac.uk/?utm_source=TopUnviersities&utm_medium=Profile&utm_campaign=QS17
SRM Institute of Science and Technology,Obstetrics and Gynaecology,Masters,India,https://www.srmist.edu.in/
Cardiff University,Physics with Astronomy (MPhys),Bachelors,United Kingdom,https://www.cardiff.ac.uk
Northern Borders University,Medicine,Bachelors,Saudi Arabia,https://www.nbu.edu.sa/en/Pages/default.aspx
George Mason University,BA in English - Concentration in Cultural Studies,Bachelors,,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
Queen's University Belfast,MEng Computer Engineering,Bachelors,,https://www.qub.ac.uk/?utm_source=TopUni&utm_medium=Profile&utm_campaign=SMCQSTU18&utm_content=HomePageLink
Coventry University,MSc Global Financial Trading (Extended Professional Practice),Masters,United Kingdom,https://www.coventry.ac.uk/
University of Otago,Bachelor of Social Work (BSW),Bachelors,New Zealand,http://www.otago.ac.nz
University of Nicosia,International Relations and European Studies,Bachelors,Cyprus,https://www.unic.ac.cy
University of Southern Queensland,Bachelor of General Studies - Business Administration,Bachelors,Australia,http://www.unisq.edu.au/
Universitas Sumatera Utara,Master in Science Psychology,Masters,Indonesia,https://www.usu.ac.id/en
Georgetown University,Master of Arts in Liberal Studies,Masters,,https://landing.scsonline.georgetown.edu/brand-af/?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
Universidad del Valle,Bachelor in Mathematics,Bachelors,Colombia,http://www.univalle.edu.co
La Trobe University,Bachelor of Commerce/Bachelor of Health Sciences,Bachelors,Australia,http://www.latrobe.edu.au/international
CEU Universities,Degree in Law & Own Degree in Digital Law and Technological Innovation (Bilingual),Bachelors,Spain,https://www.ceuuniversities.com/en/?utm_source=QS&utm_medium=CONTENIDO&utm_campaign=FICHA_CEU_UNIVERSITIES_QS_JUN2022
Prague University of Economics and Business,Finance and Business Valuation,Masters,Czechia,https://www.vse.cz/english/
Newcastle University Business School,Marketing BSc Honours,Bachelors,United Kingdom,https://www.ncl.ac.uk/business/?utm_source=qs&utm_medium=paid-referral&utm_campaign=external-profile&utm_content=homepage
University of Otago,Master of Arts (Coursework) (MA(Coursework)) in Chinese,Masters,New Zealand,http://www.otago.ac.nz
The University of Edinburgh,Operational Research (MSc),Masters,United Kingdom,https://www.ed.ac.uk/studying?utm_source=TopUniversities&utm_medium=InstProfile&utm_campaign=InstitutionProfiles&utm_content=WebsiteURL
Queensland University of Technology (QUT),Master of Information Technology (Cyber Security and Networks) (Online: 2 years),Masters,Australia,https://www.qut.edu.au/
University of Southern Queensland,Doctor of Philosophy (PhD) - Primary Education,PHD,Australia,http://www.unisq.edu.au/
Kansas State University ,Animal Sciences and Industry Bachelor's Degree,Bachelors,,http://www.k-state.edu
Lancaster University,Computer Science (Study Abroad) BSc Hons,Bachelors,United Kingdom,http://www.lancs.ac.uk
Macquarie University,Bachelor of Psychology (Honours),Bachelors,Australia,http://www.mq.edu.au
University of Sussex,International Political Economy MA,Masters,United Kingdom,https://www.sussex.ac.uk/?utm_source=qs&utm_medium=paid_referral&utm_campaign=institutionalprofiles
United International Business Schools (UIBS),BA - Bachelor of Arts in Tourism Management,Bachelors,Switzerland,http://uibs.org/
Complutense University of Madrid,Advertising and Public Relations,Bachelors,Spain,http://www.ucm.es
Macquarie University,Bachelor of Advanced Information Technology (Cyber Security),Bachelors,Australia,http://www.mq.edu.au
Coventry University,"MA Diplomacy, Law and Global Change",Masters,United Kingdom,https://www.coventry.ac.uk/
Samarkand State University,History,Bachelors,Uzbekistan,https://www.samdu.uz/en
